车次,始发日期,起点站,终点站,日均定员,客座率
K11,20160128,ZD074,ZD190-02,1373,64.9%
K09,20160128,ZD184,ZD190-02,1076,21.6%
G01,20160128,ZD075,ZD190-02,1112,49.4%
K17,20160128,ZD004,ZD190-02,1052,43.0%
K18,20160128,ZD246,ZD190-02,1200,43.7%
K02,20160128,ZD291,ZD190-02,1061,62.0%
G02,20160128,ZD215,ZD190-02,1112,24.8%
G03,20160128,ZD313,ZD190-02,1102,35.0%
Z03,20160128,ZD012,ZD190-02,696,77.1%
K05,20160128,ZD217,ZD190-02,1179,26.0%
G04,20160128,ZD242,ZD190-01,1005,59.6%
G05,20160128,ZD242,ZD190-01,556,46.1%
G06,20160128,ZD013,ZD190-01,1015,78.4%
G07,20160128,ZD013,ZD190-01,1015,83.2%
G08,20160128,ZD013,ZD190-01,1015,82.0%
G09,20160128,ZD013,ZD190-01,1015,85.0%
G10,20160128,ZD013,ZD190-01,1112,82.7%
G11,20160128,ZD013,ZD190-01,1112,55.4%
G12,20160128,ZD013,ZD190-01,1112,66.9%
G13,20160128,ZD013,ZD190-01,1005,77.0%
G14,20160128,ZD013,ZD190-01,1112,62.0%
G15,20160128,ZD013,ZD190-01,1112,46.7%
G16,20160128,ZD013,ZD190-01,1112,41.4%
G17,20160128,ZD013,ZD190-01,1112,51.3%
K15,20160128,ZD230,ZD190-01,1267,54.1%
K12,20160128,ZD007,ZD190-01,1148,53.7%
K04,20160128,ZD273,ZD190-02,1194,62.9%
G25,20160128,ZD261,ZD190-01,1061,64.3%
K16,20160128,ZD266,ZD190-01,1142,59.4%
D02,20160128,ZD111-01,ZD190-01,1112,40.0%
D03,20160128,ZD190-01,ZD111-01,613,53.4%
D04,20160128,ZD111-03,ZD190-01,586,80.4%
D05,20160128,ZD190-01,ZD111-01,1172,14.0%
D06,20160128,ZD111-01,ZD190-01,1172,43.5%
D07,20160128,ZD190-01,ZD111-01,1226,15.4%
D08,20160128,ZD111-01,ZD190-02,586,60.7%
D09,20160128,ZD190-02,ZD111-01,586,40.0%
D10,20160128,ZD111-01,ZD190-01,1172,32.1%
D11,20160128,ZD190-01,ZD111-01,586,32.1%
D12,20160128,ZD111-01,ZD190-01,586,21.2%
D13,20160128,ZD190-01,ZD111-01,1172,63.2%
D14,20160128,ZD111-01,ZD190-01,1226,10.1%
D15,20160128,ZD190-02,ZD111-03,586,49.9%
D16,20160128,ZD111-01,ZD190-01,613,10.4%
D17,20160128,ZD190-01,ZD111-03,1112,31.3%
D18,20160128,ZD111-01,ZD190-01,613,21.8%
D19,20160128,ZD190-01,ZD111-03,586,20.3%
D20,20160128,ZD111-01,ZD190-02,586,35.9%
T06,20160128,ZD181,ZD190-01,436,12.7%
T07,20160128,ZD190-01,ZD181,436,6.3%
T08,20160128,ZD181,ZD190-02,436,6.2%
T09,20160128,ZD190-02,ZD181,436,7.1%
G19,20160128,ZD209,ZD190-01,1005,74.5%
G20,20160128,ZD209,ZD190-01,1005,87.5%
G21,20160128,ZD209,ZD190-01,1112,60.6%
G24,20160128,ZD080,ZD190-01,1005,73.4%
G27,20160128,ZD080,ZD190-01,1112,60.2%
K10,20160128,ZD056,ZD190-01,1122,79.8%
K08,20160128,ZD170,ZD190-01,1237,65.1%
G22,20160128,ZD203,ZD190-01,960,74.5%
Z01,20160128,ZD071,ZD190-01,1260,98.1%
T01,20160128,ZD212,ZD190-01,1090,85.7%
G26,20160128,ZD072,ZD190-01,1005,91.0%
G28,20160128,ZD316,ZD190-01,1005,79.9%
K03,20160128,ZD174,ZD190-01,1252,95.1%
K07,20160128,ZD029,ZD190-01,1332,80.3%
G29,20160128,ZD321,ZD190-01,960,68.8%
K01,20160128,ZD142,ZD190-01,1225,63.9%
K06,20160128,ZD299,ZD190-01,1246,64.7%
Z02,20160128,ZD267,ZD190-01,1194,76.8%
